function,window,status,sync_laps,coup_per,distance
entropy,12,noise,0,False,0.9243006867124328
entropy,12,noise,0,False,0.9083193380837928
entropy,12,noise,0,False,0.8711289237637043
entropy,12,noise,0,False,0.8382027387919999
entropy,12,noise,0,False,0.9319291860914591
entropy,12,noise,0,False,0.9213036839898372
entropy,12,noise,0,False,0.9546986909245521
entropy,12,noise,0,False,0.9745806688734895
entropy,12,noise,0,False,0.9266630555980471
entropy,12,noise,0,False,0.980295276262932
entropy,12,noise,0,False,0.9470037866806009
entropy,12,noise,0,False,0.9131283583766288
entropy,12,noise,0,False,0.8911376143175933
entropy,12,noise,0,False,0.9708671215476705
entropy,12,noise,0,False,0.958257210886791
entropy,12,noise,0,False,0.9472145743989668
entropy,12,noise,0,False,0.9431532020040714
entropy,12,noise,0,False,0.9456775260026109
entropy,12,noise,0,False,0.9244799149313763
entropy,12,noise,0,False,0.9283330322276293
entropy,12,noise,0,False,0.9619462375928663
entropy,12,noise,0,False,0.9474207303598637
entropy,12,noise,0,False,0.9340438454781876
entropy,12,noise,0,False,0.9370221592081702
entropy,12,noise,0,False,0.924057967662167
entropy,12,noise,0,False,0.9473160674044316
entropy,12,noise,0,False,0.8414764778931798
entropy,12,noise,0,False,0.8825475093722934
entropy,12,noise,0,False,0.9097430574405903
entropy,12,noise,0,False,0.9410131418923176
entropy,12,noise,0,False,1.005191867926184
